sound,word,test,ChildWordKey,tran,timeLab,f1,f2,f3,f3f2,ChildID
RealWordRep_011L48MS4,rabbit,Test13,011L48MS4Test13rabbit,r,157.8318157,1101.230601,2602.145477,4101.912924,1499.767447,C011
RealWordRep_011L48MS4,rock,Test14,011L48MS4Test14rock,$other,164.8140066,742.7202796,1316.703949,3007.627297,1690.923348,C011
RealWordRep_011L48MS4,red,Test15,011L48MS4Test15red,r:$w,177.0837186,507.1748578,1330.160641,3917.202817,2587.042176,C011
RealWordRep_011L48MS4,window,Test23,011L48MS4Test23window,w,226.5110545,449.6248139,1589.424936,2881.326399,1291.901463,C011
RealWordRep_011L48MS4,raisins,Test31,011L48MS4Test31raisins,r,295.159947,619.0938849,1520.463275,3296.026867,1775.563592,C011
RealWordRep_011L48MS4,wind,Test32,011L48MS4Test32wind,w,303.2612855,518.3412925,2321.417697,4093.075716,1771.658019,C011
RealWordRep_011L48MS4,water,Test33,011L48MS4Test33water,$other,306.6361661,764.6453929,1540.205876,3338.573058,1798.367182,C011
RealWordRep_011L48MS4,rain,Test35,011L48MS4Test35rain,r,313.4249751,584.9599455,1781.847914,4231.925754,2450.07784,C011
RealWordRep_011L48MS4,watch,Test38,011L48MS4Test38watch,w,323.8504674,600.3460891,1081.971253,3692.28156,2610.310308,C011
RealWordRep_011L48MS4,reading,Test44,011L48MS4Test44reading,r:$w,354.2175527,536.7118528,1516.772952,3489.146283,1972.37333,C011
RealWordRep_011L48MS4,ring,Test46,011L48MS4Test46ring,r,361.8939904,558.6213156,2093.874579,3350.874785,1257.000206,C011
RealWordRep_011L48MS4,walk,Test47,011L48MS4Test47walk,w,365.245277,319.9428527,713.5745312,2994.20739,2280.632858,C011
RealWordRep_011L48MS4,rocking,Test48,011L48MS4Test48rocking,r:$w,369.1981481,620.9082079,1637.081312,3776.269917,2139.188605,C011
RealWordRep_011L48MS4,waiting,Test49,011L48MS4Test49waiting,w,373.1448201,555.1977763,1821.360625,3444.704958,1623.344334,C011
RealWordRep_011L48MS4,running,Test51,011L48MS4Test51running,r:$w,380.9406654,534.5410456,2149.247507,2924.50519,775.2576832,C011
RealWordRep_011L48MS4,wheel,Test60,011L48MS4Test60wheel,w,424.7430566,388.1818519,1624.068312,3589.67902,1965.610708,C011
RealWordRep_011L48MS4,washer,Test68,011L48MS4Test68washer,w,472.370106,495.9348837,2206.820313,3992.723108,1785.902795,C011
RealWordRep_011L48MS4,rock,Test76,011L48MS4Test76rock,r:$w,513.4922975,1317.488021,2582.45534,4583.483912,2001.028571,C011
RealWordRep_011L48MS4,red,Test80,011L48MS4Test80red,r,530.4505178,501.8298492,1513.085533,3825.003224,2311.91769,C011
RealWordRep_011L48MS4,rabbit,Test85,011L48MS4Test85rabbit,r,552.2742069,973.5722211,2299.701409,3822.390124,1522.688715,C011
RealWordRep_011L48MS4,web,Test87,011L48MS4Test87web,w:$r,560.2788014,603.5470065,1781.596622,3834.333968,2052.737346,C011
RealWordRep_012L41MS3,rabbit,Test3,012L41MS3Test3rabbit,r,151.8614461,498.512759,2176.949889,3874.009416,1697.059527,C012
RealWordRep_012L41MS3,web,Test4,012L41MS3Test4web,w,155.1634426,523.92228,2099.535466,3657.626766,1558.091299,C012
RealWordRep_012L41MS3,wet,Test7,012L41MS3Test7wet,w,173.3601129,614.2903299,1071.284109,3457.116349,2385.83224,C012
RealWordRep_012L41MS3,rock,Test16,012L41MS3Test16rock,r:$w,249.9087626,1140.120556,2357.101037,4027.757848,1670.656811,C012
RealWordRep_012L41MS3,rocking,Test17,012L41MS3Test17rocking,r,253.0989528,940.9411757,1853.88869,3015.319875,1161.431185,C012
RealWordRep_012L41MS3,waiting,Test21,012L41MS3Test21waiting,w,275.9343263,433.8902549,2396.473989,3492.689918,1096.215929,C012
RealWordRep_012L41MS3,walk,Test23,012L41MS3Test23walk,w,294.711201,692.2069061,2453.455687,4259.02493,1805.569243,C012
RealWordRep_012L41MS3,raisins,Test32,012L41MS3Test32raisins,r,342.276934,1203.555589,2265.797617,4672.95542,2407.157803,C012
RealWordRep_012L41MS3,watch,Test34,012L41MS3Test34watch,w,370.312454,862.9772512,1166.173867,3220.681412,2054.507545,C012
RealWordRep_012L41MS3,water,Test38,012L41MS3Test38water,w,393.9510546,861.6184604,2692.103271,3948.502626,1256.399354,C012
RealWordRep_012L41MS3,reading,Test50,012L41MS3Test50reading,r,508.3583098,433.2308748,1395.312908,3070.477758,1675.16485,C012
RealWordRep_012L41MS3,washer,Test58,012L41MS3Test58washer,w,551.6661619,639.0948638,2771.56537,4491.293813,1719.728442,C012
